Item,percent_uk,totalUse,importWorld,importEU,importNonEU,production,percent_EU_imports,exports,deficit_after_brexit,leftAfterBrexit
"Tobacco, unmanufactured",NA,NA,38360,5841,32519,NA,15.22679874869656,170,NA,NA
"Tomatoes, paste",NA,NA,140130,126968,13162,NA,90.60729322771712,649,NA,NA
"Tomatoes, peeled",NA,NA,295005,291409,3596,NA,98.78103760953204,3349,NA,NA
Vanilla,NA,NA,265,139,126,NA,52.45283018867924,19,NA,NA
Vegetables in vinegar,NA,NA,88834,41299,47535,NA,46.49008262602157,9895,NA,NA
"Vegetables, dehydrated",NA,NA,27708,12156,15552,NA,43.87180597661325,1362,NA,NA
"Vegetables, fresh or dried products nes",NA,NA,3413,1445,1968,NA,42.338118956929385,186,NA,NA
"Vegetables, frozen",NA,NA,313773,261765,52008,NA,83.4249600826075,31092,NA,NA
"Vegetables, homogenized preparations",NA,NA,3083,2830,253,NA,91.79370742783004,263,NA,NA
"Vegetables, preserved nes",NA,NA,216677,187873,28804,NA,86.70648015248503,89905,NA,NA
"Vegetables, preserved, frozen",NA,NA,24203,20267,3936,NA,83.7375531958848,4237,NA,NA
"Vegetables, temporarily preserved",NA,NA,14594,11903,2691,NA,81.56091544470331,751,NA,NA
Vermouths & similar,NA,NA,21375,21138,237,NA,98.89122807017544,195,NA,NA
Wafers,NA,NA,26703,25366,1337,NA,94.99307193948245,16827,NA,NA
"Walnuts, shelled",NA,NA,7294,3607,3687,NA,49.45160405812997,394,NA,NA
"Walnuts, with shell",NA,NA,916,764,152,NA,83.4061135371179,33,NA,NA
Watermelons,NA,NA,90264,66588,23676,NA,73.77027386333422,745,NA,NA
"Waters,ice etc",NA,NA,644410,560917,83493,NA,87.04349715243401,127565,NA,NA
Waxes vegetable,NA,NA,923,121,802,NA,13.109425785482124,123,NA,NA
"Wool, degreased",NA,NA,28544,5534,23010,NA,19.387612107623315,17466,NA,NA
"Wool, hair waste",NA,NA,2132,136,1996,NA,6.378986866791744,3150,NA,NA
"Yoghurt, concentrated or not",NA,NA,119687,118249,1438,NA,98.79853283982388,21582,NA,NA
